Rank,Name,Mean (%),Low (%),High (%),Occurance Example,Source
Phylum,Proteobacteria,35,17.2,78.3,Arctic/subarctic glacier discharge,Kohler et al. (2020)
Phylum,Bacteroidota,20.2,5.9,52.9,Arctic/subarctic glacier discharge,Kohler et al. (2020)
Phylum,Verrucomicrobiota,7.9,0,17.1,Glacier foreland (Svalbard),Venkatachalam et al. (2021)
Phylum,Acidobacteriota,5.8,0,15.6,Glacier foreland (Svalbard),Venkatachalam et al. (2021)
Phylum,Cyanobacteria,2.8,0,19,Glacierized catchment (Greenland),Zarsky et al. (2018)
Class,Bacteroidia,19.5,3.2,52.9,Glacier foreland (Svalbard),Venkatachalam et al. (2021)
Class,Gammaproteobacteria,18.7,8,41.6,Glacier foreland (Svalbard),Venkatachalam et al. (2021)
Class,Alphaproteobacteria,14.3,5.2,51.3,Proglacial streams,Gu et al. (2021)
Order,Burkholderiales,13.4,4.8,36.9,Cryoconite holes (Andes),Pittino et al. (2021)
Order,Chitinophagales,6.25,1,37.7,Arctic/subarctic glacier discharge,Kohler et al. (2020)
Order,Sphingomonadales,4,0.2,25.1,Cryoconite holes (Andes),Pittino et al. (2021)
Family,Comamonadaceae,4.1,0,23.4,Various proglacial streams,Gu et al. (2021)
Family,Flavobacteriaceae,3.2,0,25.3,Glacier foreland (Svalbard),Venkatachalam et al. (2021)
Family,Chitinophagaceae,2.9,0,37.7,Proglacial lake (Austrian Alps),Peter & Sommaruga (2016)
Family,Sphingomonadaceae,2.3,0,25.1,Various proglacial streams,Gu et al. (2021)
Genus,Flavobacterium,3.5,0,25.3,Subglacial environments (Nunavut),Skidmore et al. (2005)
Genus,Rhizorhapis,0.5,0,23.2,Rhizosphere pathogen,Francis et al. (2014)
Genus,Ferruginibacter,0.5,0,16.6,Proglacial lake (Austrian Alps),Peter & Sommaruga (2016)
Genus,Polaromonas,0.5,0,14.9,Arctic/subarctic glacier discharge,Kohler et al. (2020)