Location,Env_Variable_TableS1,Env_Variable,Rep,Rsquared,r_squared_orig,RSME,MAE,Ct <5 Unique Values,Ct <5 Unique Values_orig,Truncated_Grid,Notes
Mount Hood,elevation_m,Elevation,1,0.210453541,0.109878781,333.5185768,244.0128998,,,,
Mount Hood,elevation_m,Elevation,2,0.17961815,0.095030623,334.8554426,249.7628831,,,,
Mount Hood,elevation_m,Elevation,3,0.09557231,0.023979156,347.3099532,256.6916919,,,,
Mount Hood,ysi_temp,Temp,1,0.564858444,0.747975701,5.47500258,3.843110083,,,,
Mount Hood,ysi_temp,Temp,2,0.606649527,0.677376265,5.539901719,3.884801314,,,,
Mount Hood,ysi_temp,Temp,3,0.590127756,0.745848696,5.302325293,3.765293417,,,,
Mount Hood,ysi_do,DO,1,0.618517069,0.851088633,2.304763796,1.586605589,,,,
Mount Hood,ysi_do,DO,2,0.411015015,0.681018476,2.703750177,1.750067001,,,,
Mount Hood,ysi_do,DO,3,0.458452064,0.673338079,2.648842436,1.717474017,,,,
Mount Hood,ysi_spc,SPC,1,0.687354626,0.692402759,234.000148,104.8526737,,,,
Mount Hood,ysi_spc,SPC,2,0.391180242,0.432416112,270.2029765,112.9169569,,,,Original Rep_1 had an outlier R2 value < 0.03
Mount Hood,ysi_spc,SPC,3,0.607968829,0.641553778,244.9405776,105.2039225,,,,
Mount Hood,ysi_ph,pH,1,0.164854109,0.094420707,0.463983828,0.326600792,,,,
Mount Hood,ysi_ph,pH,2,0.154924943,0.243250183,0.466028002,0.326850184,,,,
Mount Hood,ysi_ph,pH,3,0.017108358,0.232733165,0.505842278,0.370371264,,,,
Mount Hood,ysi_orp,ORP,1,0.022124144,0.089516444,30.79045528,23.80534506,,,,
Mount Hood,ysi_orp,ORP,2,0.081183226,0.228490282,33.64345824,26.08292723,,,,
Mount Hood,ysi_orp,ORP,3,0.161433026,0.240505431,35.6325114,27.9111303,,,,
Mount Hood,alkalinity_caco3,CaCO3,1,0.671797966,0.580835768,33.23487906,16.96596413,,,,
Mount Hood,alkalinity_caco3,CaCO3,2,0.477124397,0.682439491,37.34964315,19.25122808,,,,
Mount Hood,alkalinity_caco3,CaCO3,3,0.702561731,0.674816828,32.57363526,17.25655872,,,,
Mount Hood,bicarbonate_hco3,HCO3,1,0.709478516,0.599850087,38.6762364,21.59438385,,,,
Mount Hood,bicarbonate_hco3,HCO3,2,0.386501562,0.560254059,45.00395516,24.18633061,,,,
Mount Hood,bicarbonate_hco3,HCO3,3,0.721739079,0.619573463,36.98943108,19.99743364,,,,
Mount Hood,calcium,Ca,1,0.55450611,0.64570476,12.39431143,6.113487967,,,,
Mount Hood,calcium,Ca,2,0.686423402,0.567911246,11.75500561,5.592862676,,,,
Mount Hood,calcium,Ca,3,0.493567075,0.693780474,12.58875098,6.279601892,,,,
Mount Hood,chloride,Cl,1,0.623844008,0.476751178,30.77291764,13.66974842,,,,
Mount Hood,chloride,Cl,2,0.456955393,0.604678909,32.62445516,16.00777432,,,,
Mount Hood,chloride,Cl,3,0.520173529,0.548692277,31.66825004,14.33130502,,,,
Mount Hood,magnesium,Mg,1,0.632969974,0.608739238,10.7616906,4.981161469,,,,
Mount Hood,magnesium,Mg,2,0.691016352,0.753339222,9.876629748,4.344875279,,,,
Mount Hood,magnesium,Mg,3,0.745156502,0.434683443,9.621578319,4.420822244,,,,
Mount Hood,potassium,K,1,0.379508907,0.561229733,2.461923624,1.191863861,,,,
Mount Hood,potassium,K,2,0.69568601,0.224968376,2.213925875,1.103960352,,,,
Mount Hood,potassium,K,3,0.686915812,0.746539998,2.089323197,1.027342693,,,,
Mount Hood,sio2,SiO2,1,0.719532986,0.652045265,16.61239591,11.65082016,,,,
Mount Hood,sio2,SiO2,2,0.794486199,0.7091667,15.9413037,11.2670648,,,,
Mount Hood,sio2,SiO2,3,0.769226272,0.620141089,16.17124879,11.60250458,,,,
Mount Hood,sodium,Na,1,0.696244423,0.746548942,23.32172567,9.952483414,,,,
Mount Hood,sodium,Na,2,0.740115882,0.375402193,24.88663732,10.49964231,,,,
Mount Hood,sodium,Na,3,0.693031068,0.755978305,23.75429894,10.38974205,,,,
Mount Hood,strontium,Sr,1,0.526814798,0.581432667,0.079361278,0.041019927,,,,
Mount Hood,strontium,Sr,2,0.561562222,0.458273876,0.079159494,0.039830233,,,,
Mount Hood,strontium,Sr,3,0.394653405,0.543357128,0.091298825,0.045731305,,,,
Mount Hood,sulfate,SO4,1,0.436898659,0.780625158,57.39090661,23.61378534,,,,
Mount Hood,sulfate,SO4,2,0.761235337,0.772964608,47.95257943,20.6979826,,,,
Mount Hood,sulfate,SO4,3,0.723384229,0.73406439,51.44772324,21.55025537,,,,
Mount Hood,tds,TDS,1,0.686550854,0.650111818,165.9419464,75.32699781,,,,
Mount Hood,tds,TDS,2,0.753137088,0.636399861,151.822761,70.04342981,,,,
Mount Hood,tds,TDS,3,0.765026544,0.674800896,151.8810311,67.1965406,,,,
Mount Hood,fi_best,fi,1,0.339818473,0.439550043,0.176786809,0.137672123,,,,
Mount Hood,fi_best,fi,2,0.380355747,0.152328276,0.176335354,0.138655639,,,,
Mount Hood,fi_best,fi,3,0.444350343,0.40754288,0.174157027,0.137403314,,,,
Glacier National Park,elevation_m,Elevation,1,0.116299928,0.035749862,454.1846682,368.2616985,,6,,
Glacier National Park,elevation_m,Elevation,2,0.067873005,0.048315553,466.922289,394.3430404,,3,,
Glacier National Park,elevation_m,Elevation,3,0.144696518,0.057027631,449.6435316,374.3091102,,9,,
Glacier National Park,ysi_temp,Temp,1,0.545194572,0.445628975,4.65280904,3.405958399,,3,,
Glacier National Park,ysi_temp,Temp,2,0.428210504,0.363633039,4.606222884,3.289250572,3,3,,
Glacier National Park,ysi_temp,Temp,3,0.360266458,0.396332937,4.684521636,3.447306692,3,3,,
Glacier National Park,ysi_do,DO,1,0.382558524,0.060153836,0.884041404,0.591073942,,6,,
Glacier National Park,ysi_do,DO,2,0.512309334,0.049307813,0.769949441,0.513527578,,,,
Glacier National Park,ysi_do,DO,3,0.583079792,0.038634723,0.706865909,0.479634654,3,3,,
Glacier National Park,ysi_spc,SPC,1,0.149649195,0.381256314,52.93987088,44.66978164,,3,,
Glacier National Park,ysi_spc,SPC,2,0.295015262,0.42615978,48.71878088,41.8428091,6,,,
Glacier National Park,ysi_spc,SPC,3,0.114031271,0.295330429,53.98790695,45.76129516,6,6,,
Glacier National Park,ysi_ph,pH,1,0.007540413,0.096208982,0.217247396,0.193956297,9,12,,
Glacier National Park,ysi_ph,pH,2,0.013508496,0.007313792,0.222854804,0.202388888,3,12,,
Glacier National Park,ysi_ph,pH,3,0.021913631,2.67E-05,0.202215337,0.183940779,9,18,,
Glacier National Park,ysi_orp,ORP,1,0.045832626,0.005079515,41.15443202,35.3771962,,3,,
Glacier National Park,ysi_orp,ORP,2,0.019459218,0.016705198,40.43535125,34.26060406,3,6,,
Glacier National Park,ysi_orp,ORP,3,0.005455744,0.013229133,39.34919861,33.17908483,3,4,,
Glacier National Park,alkalinity_caco3,CaCO3,1,0.107415606,0.265857039,28.3951938,23.36715723,3,33,,
Glacier National Park,alkalinity_caco3,CaCO3,2,0.077999115,0.200169908,28.80784316,23.93207035,9,12,,
Glacier National Park,alkalinity_caco3,CaCO3,3,0.297659035,0.262897369,25.79657831,21.85786632,6,6,,
Glacier National Park,bicarbonate_hco3,HCO3,1,0.183755371,0.333538095,33.12505126,27.10759953,,3,,
Glacier National Park,bicarbonate_hco3,HCO3,2,0.153030313,0.253873849,33.77098947,28.19202485,3,3,,
Glacier National Park,bicarbonate_hco3,HCO3,3,0.015007264,0.551539956,37.12604316,30.17252602,,6,,
Glacier National Park,calcium,Ca,1,0.160812858,0.317115535,8.025474666,6.928022625,9,15,,
Glacier National Park,calcium,Ca,2,0.05947453,0.476707362,8.512399086,7.644852063,3,6,,
Glacier National Park,calcium,Ca,3,0.236790126,0.388819255,7.658531907,6.452180735,,15,,
Glacier National Park,chloride,Cl,1,6.20E-05,0.008196789,0.016610408,0.013127425,15,,,
Glacier National Park,chloride,Cl,2,0.002397522,0.013037796,0.016415445,0.012988272,12,3,,
Glacier National Park,chloride,Cl,3,0.175652698,0.007585606,0.017418781,0.013326056,12,6,,
Glacier National Park,magnesium,Mg,1,0.030316731,0.200564026,1.981535407,1.428102937,3,,,
Glacier National Park,magnesium,Mg,2,0.083694402,0.056920535,1.92546111,1.397259043,3,,,
Glacier National Park,magnesium,Mg,3,0.032482762,0.057941634,1.988017597,1.450608268,,16,,
Glacier National Park,potassium,K,1,0.013113071,0.071351977,0.048873994,0.042303939,50,50,,
Glacier National Park,potassium,K,2,0.200517689,0.059936451,0.044980416,0.038915012,50,50,,
Glacier National Park,potassium,K,3,0.230226082,0.034557447,0.0444153,0.038485179,50,50,,
Glacier National Park,sio2,SiO2,1,0.237510513,0.071053773,1.136319008,0.854144405,,,,
Glacier National Park,sio2,SiO2,2,0.088281205,0.100249809,1.198032753,0.901329088,3,12,,
Glacier National Park,sio2,SiO2,3,0.169663937,0.111521783,1.152924487,0.888488906,,3,,"In nominalTrainWorkflow(x = x, y = y, wts = weights, info = trainInfo,  :"
Glacier National Park,sodium,Na,1,0.036024792,0.208665212,0.199793965,0.155795756,15,21,,
Glacier National Park,sodium,Na,2,0.103122068,0.222546392,0.192542136,0.146960689,15,18,,
Glacier National Park,sodium,Na,3,0.135952316,0.116120842,0.189529068,0.145556256,21,15,,
Glacier National Park,strontium,Sr,1,0.124857626,0.066576318,0.014431748,0.013144781,9,33,,
Glacier National Park,strontium,Sr,2,0.085261502,0.024364033,0.014229247,0.012945576,15,15,,
Glacier National Park,strontium,Sr,3,0.172752735,0.01665393,0.014345667,0.013283351,12,21,,
Glacier National Park,sulfate,SO4,1,0.049584783,0.123511663,1.142638731,0.838109662,15,9,,
Glacier National Park,sulfate,SO4,2,0.13687125,0.154588548,1.013685716,0.777367309,3,9,,
Glacier National Park,sulfate,SO4,3,0.007390971,0.047622904,1.07451164,0.81279795,,,,
Glacier National Park,tds,TDS,1,0.124916966,0.379090979,28.58413774,23.47607683,,,,
Glacier National Park,tds,TDS,2,0.146601123,0.356085633,28.1850171,23.00715865,,18,,
Glacier National Park,tds,TDS,3,0.259340234,0.38799073,26.45980758,22.00265158,,3,,
Glacier National Park,fi_best,fi,1,0.325778977,0.215936849,0.175857418,0.147401991,6,15,,
Glacier National Park,fi_best,fi,2,0.056767011,0.2610486,0.164450017,0.13752075,4,6,,
Glacier National Park,fi_best,fi,3,0.048638719,0.16269106,0.162220113,0.140496031,3,12,,